	k_groups_corrected
WDR43	16k57
NOP14	16k57
PPAN	16k57
RRP1	16k57
RUVBL2	16k57
FARSA	16k57
METTL1	16k57
DUS1L	16k57
PUS1	16k57
DHX34	16k57
LIG1	16k57
SAE1	16k57
CAD	16k57
ILF3	16k57
PTBP1	16k57
VARS1	24k43
METTL2A	24k43
METTL2B	24k43
TARS2	24k43
DDX56	24k43
ABT1	24k43
MRM2	24k43
BUD23	24k43
RPUSD2	24k43
GARS1	24k43
REXO4	24k43
WDR46	24k43
EIF3B	24k43
HSP90AB1	24k43
MCM3	24k43
POLD2	24k43
MCM7	24k43
TBRG4	24k43
PALB2	24k43
PPP4C	24k43
CCT6A	24k43
DNAJC2	24k43
NUTF2	24k43
SPOUT1	24k43
ALG3	24k43
DPM2	24k43
ELAVL1	24k43
POLR3E	24k43
CTSD	80k17
ARRB2	80k17
BIRC3	80k17
TNFAIP8	80k17
IFI16	80k17
CTNS	80k17
MCM2	54k24
MCM6	54k24
POLE3	54k24
PRIM1	54k24
CDK4	54k24
EIF4E	54k24
SET	54k24
RMI1	54k24
SETSIP	54k24
ASCC3	54k24
GRPEL1	54k24
PEX7	54k24
TOMM70	54k24
MRPS35	54k24
TSFM	54k24
MRPL42	54k24
YEATS4	54k24
NUP37	54k24
PICALM	63k19
FGD6	63k19
DOCK4	63k19
EOGT	63k19
B3GALNT1	63k19
SOCS5	63k19
CRK	126k12
PAFAH1B1	126k12
NDEL1	126k12
TAX1BP3	126k12
INPP5K	126k12
FLII	126k12
TNFSF13	126k12
GABARAP	126k12
ETFDH	39k33
ACOX1	39k33
ABCD3	39k33
CPT2	39k33
ACADM	39k33
EHHADH	39k33
AUH	39k33
SCP2	39k33
IDH1	39k33
ENPP4	39k33
BCL10	39k33
SOS2	39k33
LAMTOR3	39k33
TOM1L1	39k33
SPTSSA	39k33
ENG	33k34
CD34	33k34
SOX17	33k34
RAMP2	33k34
APLNR	33k34
PDE2A	33k34
PECAM1	33k34
TEK	33k34
CSF1	33k34
MMRN2	33k34
LYVE1	33k34
VWF	33k34
THBD	33k34
PALM	33k34
CALCRL	33k34
CYTL1	33k34
ELMO1	33k34
ARHGAP24	33k34
EFHD1	33k34
ST3GAL6	33k34
HS3ST2	33k34
GCNT3	101k14
B3GALT5	101k14
HSD17B2	101k14
HPGD	101k14
SLC1A1	101k14
MFSD2B	101k14
FKBP1B	101k14
PLLP	101k14
PPM1J	101k14
PINK1	101k14
GABARAPL3	159k9
GABARAPL1	159k9
PHF1	159k9
WHAMMP3	159k9
GLI3	159k9
HLA-C	157k9
HLA-B	157k9
HLA-G	157k9
HLA-A	157k9
HLA-E	157k9
B2M	157k9
BTN3A3	157k9
STK10	157k9
MGAT1	157k9
HIF1A	277k5
EPAS1	277k5
SCG2	277k5
SNRK	277k5
DMXL2	277k5
CALM2	327k5
CALM1	327k5
CALM3	327k5
SEL1L	327k5
SCAMP2	327k5
KCND3	115k13
CNR1	115k13
ABCA8	115k13
SLCO2A1	115k13
FAS	115k13
CASP1	115k13
CPM	115k13
NPTN	125k12
RAB11A	125k12
CHMP2B	125k12
SNAP23	125k12
RAP1B	125k12
SHOC2	125k12
PRKCZ	239k6
CPTP	239k6
RER1	239k6
ACOT11	239k6
CYP4F12	239k6
