	k_groups_corrected
GUCA2A	20k54
SLC4A4	20k54
GCG	20k54
CA4	20k54
CA2	20k54
ADTRP	20k54
MMP28	20k54
PTGER4	20k54
SCNN1B	20k54
SST	20k54
SCGB2A1	20k54
CATSPERB	20k54
EDN3	20k54
CHGA	20k54
CD177	20k54
PLA2G2A	20k54
PRKACB	20k54
ADGRL3	20k54
SLC15A2	20k54
BMP2	20k54
SI	20k54
CHGB	20k54
INSL5	20k54
DHRS9	20k54
ADH1C	20k54
CASP10	20k54
CASP5	20k54
ZG16	20k54
LGALS2	20k54
P3H2	20k54
CCN2	136k10
ZFP36	136k10
DUSP1	136k10
SGK1	136k10
DUSP5	136k10
CCN1	136k10
EGR2	136k10
SIK1	136k10
GEM	136k10
ZEB1	136k10
CD3G	10k91
NCKAP1L	10k91
PIK3CD	10k91
LCP1	10k91
ITK	10k91
CD7	10k91
DOCK2	10k91
RAC2	10k91
GPR183	10k91
ITGAL	10k91
KLRK1	10k91
CD4	10k91
CCR2	10k91
EBI3	10k91
CD1D	10k91
CD8A	10k91
ZAP70	10k91
FGL2	10k91
CD1C	10k91
PTPRC	10k91
CCL5	10k91
IL7R	10k91
RHOH	10k91
KLRC4-KLRK1	10k91
DOCK10	10k91
CD79B	10k91
IKZF1	10k91
PLCG2	10k91
BTK	10k91
BIN2	10k91
CCR5	10k91
CCL22	10k91
CXCR6	10k91
GPSM3	10k91
CXCL13	10k91
IL16	10k91
CD180	10k91
TRAT1	10k91
PVRIG	10k91
SH2D1A	10k91
CD96	10k91
SAMSN1	10k91
BANK1	10k91
NCF1	10k91
LSP1	10k91
SPOCK2	10k91
HLA-DOB	10k91
CLEC10A	10k91
HCLS1	10k91
EVI2B	10k91
IL2RB	10k91
ARHGAP25	10k91
SLAMF1	10k91
APOBEC3G	10k91
GPR171	10k91
LY86	10k91
NCF1B	10k91
NCF1C	10k91
ENPP2	10k91
ARHGAP15	10k91
ARHGEF6	10k91
FMNL1	10k91
IL10RA	10k91
STAT4	10k91
CSF2RB	10k91
P2RY10	10k91
ADA2	10k91
CD53	10k91
IRAG2	10k91
FLI1	10k91
CYTH1	10k91
PSTPIP1	10k91
EVL	10k91
LTB	10k91
YME1L1	10k91
CSF2RA	10k91
TRGV9	10k91
CD69	10k91
CLEC2D	10k91
STAB1	10k91
MEF2A	13k83
ACTA2	13k83
HEY2	13k83
CRYAB	13k83
ANK2	13k83
ACTG2	13k83
ACTC1	13k83
CNN1	13k83
SYNM	13k83
LMOD1	13k83
